fecha,puntaje,emocion_dominante,cejas,parpados,comisuras,nota
2025-08-08 12:27:29,47.588414219813586,sad,Caídas,Normales,Neutras,Detección automática
2025-08-08 12:27:40,44.83098641487595,sad,Caídas,Normales,Neutras,Detección automática
2025-08-08 12:27:52,44.72041775734923,sad,Caídas,Normales,Caídas,Detección automática
2025-08-08 12:28:03,44.00787840696785,sad,Caídas,Normales,Neutras,Detección automática
2025-08-08 12:28:30,44.0791014789087,sad,Caídas,Normales,Neutras,Detección automática
2025-08-08 12:28:46,47.66602342243284,sad,Caídas,Normales,Neutras,Detección automática
2025-08-08 12:29:00,48.561767200016305,sad,Caídas,Normales,Neutras,Detección automática
2025-08-08 12:29:12,44.015849838670285,sad,Caídas,Normales,Neutras,Detección automática
2025-08-08 12:29:25,51.33121345665881,sad,Caídas,Normales,Neutras,Detección automática
2025-08-08 12:30:45,48.71338775624395,sad,Caídas,Normales,Neutras,Detección automática
2025-08-08 12:31:03,58.23404796165681,sad,Caídas,Normales,Caídas,Detección automática
2025-08-08 12:31:23,49.541363861459786,sad,Caídas,Normales,Neutras,Detección automática
2025-08-08 12:31:44,49.00361732206773,sad,Normales,Normales,Neutras,Detección automática
2025-08-08 12:32:13,49.69374892237324,sad,Caídas,Normales,Neutras,Detección automática
2025-08-08 12:32:25,49.24077108028827,sad,Caídas,Normales,Neutras,Detección automática
2025-08-08 12:33:06,45.51392247072824,sad,Normales,Normales,Neutras,Detección automática
2025-08-08 12:33:18,47.669438467587696,sad,Normales,Normales,Neutras,Detección automática
2025-08-08 12:33:31,44.381403771986754,sad,Caídas,Normales,Neutras,Detección automática
2025-08-08 12:34:13,49.68514584201798,sad,Caídas,Normales,Neutras,Detección automática
2025-08-08 12:34:29,53.488489423225666,sad,Caídas,Normales,Neutras,Detección automática
2025-08-08 12:35:07,48.2119625157082,sad,Normales,Normales,Neutras,Detección automática
2025-08-08 12:35:23,52.167252108259746,sad,Caídas,Normales,Caídas,Detección automática
2025-08-08 12:35:49,47.14570223921172,sad,Caídas,Normales,Neutras,Detección automática
2025-08-08 12:36:48,53.39415613718248,sad,Caídas,Normales,Neutras,Detección automática
2025-08-08 12:38:38,50.11609638406936,sad,Caídas,Normales,Neutras,Detección automática
2025-08-08 12:39:41,41.18865162653296,sad,Caídas,Normales,Neutras,Detección automática
2025-08-08 12:39:59,44.44893608767795,sad,Normales,Normales,Neutras,Detección automática
2025-08-08 12:40:10,40.34199713920937,sad,Normales,Normales,Neutras,Detección automática
2025-08-08 12:41:03,47.489321662599366,sad,Normales,Normales,Neutras,Detección automática
2025-08-08 12:41:24,48.42292574905656,sad,Caídas,Normales,Neutras,Detección automática
2025-08-08 12:41:42,41.28249194668108,sad,Normales,Normales,Neutras,Detección automática
2025-08-08 12:43:59,48.5016364399069,sad,Normales,Normales,Neutras,Detección automática
2025-08-08 12:44:43,51.868207649923114,sad,Caídas,Normales,Neutras,Detección automática
2025-08-08 12:44:59,41.31018665925937,neutral,Caídas,Normales,Neutras,Detección automática
2025-08-08 12:45:13,51.891108332360005,sad,Caídas,Normales,Neutras,Detección automática
2025-08-08 12:45:45,40.316170997027164,sad,Caídas,Normales,Neutras,Detección automática
2025-08-08 12:45:58,54.39985368575776,sad,Normales,Normales,Caídas,Detección automática
2025-08-08 12:46:10,47.97148401219154,sad,Caídas,Normales,Neutras,Detección automática
2025-08-08 12:52:49,45.85252208138304,sad,Normales,Normales,Neutras,Detección automática
2025-08-08 12:53:07,48.55154244095098,sad,Caídas,Normales,Neutras,Detección automática
2025-08-08 12:53:43,54.07235123978957,sad,Caídas,Normales,Caídas,Detección automática
2025-08-08 12:53:54,58.726221334507756,sad,Caídas,Normales,Caídas,Detección automática
2025-08-08 12:54:15,53.68710267662259,sad,Normales,Normales,Caídas,Detección automática
2025-08-08 12:54:56,60.71063536857737,sad,Caídas,Normales,Caídas,Detección automática
2025-08-08 12:56:39,58.65346661754724,sad,Caídas,Normales,Caídas,Detección automática
2025-08-08 12:59:25,57.31377310151068,sad,Caídas,Normales,Neutras,Detección automática
