fecha,puntaje,emocion_dominante,cejas,parpados,comisuras
2025-08-08 12:05:09,28.866671745790526,sad,Caídas,Normales,Neutras
2025-08-08 12:05:39,29.293793231708612,neutral,Caídas,Normales,Neutras
2025-08-08 12:05:46,3.0200461591984524,angry,Normales,Normales,Neutras
2025-08-08 12:06:24,38.70367774867536,neutral,Caídas,Normales,Neutras
2025-08-08 12:06:41,12.648423054733213,happy,Caídas,Normales,Neutras
2025-08-08 12:06:49,28.266784830336256,neutral,Normales,Normales,Neutras
2025-08-08 12:07:03,34.65210587776947,neutral,Caídas,Normales,Neutras
2025-08-08 12:07:35,32.26143322703075,sad,Caídas,Normales,Neutras
2025-08-08 12:07:59,39.264843300190876,neutral,Caídas,Normales,Neutras
2025-08-08 12:08:17,16.72933655477573,fear,Caídas,Normales,Neutras
2025-08-08 12:08:54,35.77658603231809,sad,Caídas,Normales,Neutras
2025-08-08 12:09:38,16.952875577652282,fear,Caídas,Normales,Caídas
2025-08-08 12:11:42,31.505481070010532,neutral,Caídas,Normales,Neutras
2025-08-08 12:12:30,36.58249241975554,neutral,Normales,Normales,Neutras
2025-08-08 12:13:14,34.806123073760666,neutral,Caídas,Normales,Neutras
2025-08-08 12:13:31,37.78543396650068,sad,Caídas,Normales,Neutras
2025-08-08 12:14:03,43.95620338456633,neutral,Caídas,Normales,Caídas
2025-08-08 12:14:26,41.188243257231136,neutral,Caídas,Normales,Caídas
2025-08-08 12:15:26,49.412926251301656,sad,Caídas,Normales,Neutras
2025-08-08 12:15:45,9.1335837717952,happy,Normales,Normales,Neutras
2025-08-08 12:16:10,47.88610935288986,sad,Normales,Normales,Neutras
2025-08-08 12:16:40,47.248502653053656,sad,Caídas,Normales,Neutras
2025-08-08 12:16:49,45.08820021709559,sad,Caídas,Normales,Neutras
2025-08-08 12:17:03,9.868345671938886,fear,Caídas,Normales,Neutras
2025-08-08 12:17:17,25.030006219479684,happy,Caídas,Normales,Neutras
2025-08-08 12:17:33,41.342102255947054,neutral,Caídas,Normales,Neutras
2025-08-08 12:18:01,9.516228473681956,fear,Normales,Normales,Neutras
2025-08-08 12:18:05,27.606522756424766,neutral,Normales,Normales,Neutras
2025-08-08 12:18:17,41.33692401215905,sad,Caídas,Normales,Neutras
